,code,airport_name,city,state
0,01A, Afognak Lake Airport,Afognak Lake, AK
1,03A, Bear Creek Mining Strip,Granite Mountain, AK
2,04A, Lik Mining Camp,Lik, AK
3,05A, Little Squaw Airport,Little Squaw, AK
4,06A, Kizhuyak Bay,Kizhuyak, AK
5,07A, Klawock Seaplane Base,Klawock, AK
6,08A, Elizabeth Island Airport,Elizabeth Island, AK
7,09A, Augustin Island,Homer, AK
8,1B1, Columbia County,Hudson, NY
9,1G4, Grand Canyon West,Peach Springs, AZ
10,1N7, Blairstown Airport,Blairstown, NJ
11,1NY, Penn Yan Airport,Penn Yan, NY
12,2NY, Sands Point Seaplane Base,Port Washington, NY
13,6B0, Middlebury State,Middlebury, VT
14,7AK, Akun Airport,Akun, AK
15,8F3, Crosbyton Municipal,Crosbyton, TX
16,A01, Blair Lake,Fairbanks/Ft. Wainwright, AK
17,A02, Deadmans Bay Airport,Deadmans Bay, AK
18,A03, Hallo Bay Airport,Hallo Bay, AK
19,A04, Red Lake Airport,Red Lake, AK
20,A05, Shell Lake Airport,Shell Lake, AK
21,A06, Navigator Airstrip,Kougarok, AK
22,A07, Roland Norton Memorial,Selawik, AK
23,A08, Pillar Bay Airport,Pillar Bay, AK
24,A09, Johnstone Point Airport,Johnstone Point, AK
25,A11, Bell Creek Airport,Bell Creek, AK
26,A12, Cinnabar Airport,Cinnabar, AK
27,A13, Mountaintop Mine Airport,Mountaintop Mine, AK
28,A14, Whitebear Airport,Whitebear, AK
29,A15, Puviaq Airport,Puviaq, AK
30,A16, Arley Lake Airport,Arley Lake, AK
31,A17, Port Vita Airport,Port Vita, AK
32,A18, Kantishna Airport,Kantishna, AK
33,A1K, Point Thomson Airstrip,Deadhorse1, AK
34,A1L, Cullman Regional Folsom Field,Cullman, AL
35,A20, Alpine Airstrip,Alpine, AK
36,A21, Serpentine Airport,Serpentine, AK
37,A22, Driftwood Bay Airport,Driftwood Bay, AK
38,A23, Bradley Lake Airport,Bradley Lake, AK
39,A24, Chilkat Lake Airport,Chilkat Lake, AK
40,A25, Nugget Creek Airport,Nugget Creek, AK
41,A26, Ivotuk Airstrip,Ivotuk, AK
42,A27, Pogo Mines Airport,Pogo Mines, AK
43,A28, Ayakulik River Airport,Ayakulik River, AK
44,A29, Kiluda Bay Airport,Kiluda Bay, AK
45,A2K, Bartletts Airport,Bartletts, AK
46,A2L, Isbell Field,Fort Payne, AL
47,A30, Terror Lake Airport,Terror Lake, AK
48,A31, Selief Bay Airport,Selief Bay, AK
49,A34, Laura Lake Airport,Laura Lake, AK
50,A35, Bullen Point AFS,Kaktovik, AK
51,A36, Deep Bay Airport,Deep Bay, AK
52,A37, Kako Airport,Kako, AK
53,A38, Molly Creek Airport,Molly Creek, AK
54,A39, Ptarmigan Lake Airport,Ptarmigan Lake, AK
55,A3K, Smith Bay Airport,Smith Bay, AK
56,A40, Cape Simpson Airport,Cape Simpson, AK
57,A41, Kogru River Airport,Kogru River, AK
58,A42, Teshepkuk Lake Airport,Teshepkuk Lake, AK
59,A43, Trident Basin Seaplane Base,Kodiak Island, AK
60,A45, Lake Florence Airport,Lake Florence, AK
61,A46, Lake Hasselborg Airport,Lake Hasselborg, AK
62,A47, Distin Lake Airport,Distin Lake, AK
63,A48, Port Hobron Airport,Port Hobron, AK
64,A49, Mooseville Airstrip Airport,Mooseville Airstrip, AK
65,A4K, Dune Lake Airport,Dune Lake, AK
66,A50, Big Bay Airport,Big Bay, AK
67,A51, Wien Lake Airport,Wien Lake, AK
68,A52, Silver Salmon Creek Airport,Silver Salmon Creek, AK
